#Table1
ra,dec,z
120.00445,26.66585,0.02706722
120.01255,25.72895,0.01559194
120.01688,23.437854,0.02920074
120.01897,52.911213,0.01809021
120.02269,23.435069,0.02953056
120.02353,13.737607,0.02944027
120.02622,13.152123,0.01538219
120.02904,25.811686,0.01528137
120.02965,55.349652,0.02092529
120.031,25.810477,0.01560324
120.03501,11.174516,0.01345779
120.03975,39.182887,0.01315687
120.04232,36.773652,0.01342019
120.05513,26.590361,0.02658981
120.056,13.155076,0.0162913
120.05959,26.698007,0.02799849
120.06232,0.98756564,0.01851731
120.06362,27.589919,0.02294547
120.06835,37.296291,0.01330834
120.07591,13.548415,0.01555236
120.08236,26.701434,0.02782682
120.08257,15.264365,0.02881143
120.08741,11.319454,0.01493727
120.08744,26.613535,0.02673788
120.10051,7.7070324,0.01472415
120.10254,25.355488,0.01179366
120.10707,28.710474,0.02623917
120.11898,15.4531,0.01526594
120.12088,24.552722,0.01559022
120.12111,13.308457,0.01575435
120.1351,12.053155,0.01632323
120.13811,39.840012,0.02808905
120.13864,47.370783,0.022399
120.15132,16.55014,0.02889146
120.15133,53.459133,0.02381706
120.15282,22.400052,0.01837908
120.15297,15.684197,0.01568153
120.15632,13.697345,0.01521689
120.15849,45.010056,0.02130134
120.15858,13.656393,0.01581326
120.16531,8.461042,0.01451591
120.16892,12.063836,0.01514997
120.17008,39.870502,0.01326211
120.17046,16.339831,0.01623318
120.17173,53.639888,0.02263661
120.17781,35.459358,0.01759621
120.1803,8.6388137,0.01404225
120.18128,16.033698,0.01515639
120.18488,37.206343,0.01316047
120.19178,16.547271,0.01454806
120.19513,35.529423,0.01748764
120.19927,46.690528,0.01938137
120.20161,10.083603,0.01367722
120.20312,26.986225,0.02283648
120.20721,27.500439,0.01734462
120.20895,22.901431,0.0184592
120.20941,27.502012,0.01713974
120.22169,28.130357,0.01706279
120.22858,13.396769,0.01415095
120.24139,39.005194,0.02818245
120.24849,15.624756,0.01502423
120.25305,39.796766,0.01322685
120.29526,32.849835,0.01827818
120.30256,14.102811,0.02903331
120.30428,11.623539,0.01650309
120.30668,42.260712,0.01706487
120.30995,19.678052,0.02881461
120.31516,32.848902,0.01790109
120.31921,9.2648182,0.01551818
120.32473,25.304428,0.01487451
120.32839,25.28993,0.01550696
120.34638,15.36926,0.01555043
120.34872,32.883795,0.0181995
120.34884,39.88958,0.01337418
120.36156,15.749896,0.01637219
120.36376,26.089483,0.02717412
120.37415,15.714392,0.01372429
120.37812,9.7077497,0.0162601
120.38105,44.045647,0.0157241
120.3906,24.490186,0.02635478
120.39337,12.084305,0.01503379
120.3937,9.3048511,0.01531348
120.41141,15.713684,0.01584896
120.41449,10.732722,0.01619827
120.41679,8.5896487,0.01524788
120.41803,15.644755,0.01655241
120.41826,8.7892021,0.01433256
120.42688,25.240251,0.01553422
120.43146,14.440821,0.02914063
120.43505,47.06723,0.02206062
120.43635,15.58596,0.01602978
120.43687,33.914349,0.0287926
120.43981,34.75786,0.0155375
120.44239,9.9535966,0.01416857
120.44448,17.990635,0.01703836
120.44874,9.6054554,0.01615247
120.45299,26.146466,0.02657373
120.45513,46.099799,0.02984685
120.46379,55.065778,0.02663108
120.47151,18.643095,0.0172347
120.47549,9.6258614,0.01571756
120.48119,11.720343,0.01632497
120.48587,8.1259414,0.01503661
120.4884,8.5518795,0.01441633
120.48966,19.543108,0.02839384
120.49197,9.3900606,0.01333574
120.4928,20.539673,0.02883306
120.49358,19.523906,0.02847536
120.49372,15.058754,0.01612742
120.5075,24.827694,0.01179603
120.5125,53.672552,0.02389426
120.51393,40.057672,0.01347407
120.51445,15.7107,0.01376668
120.51755,27.224921,0.02207975
120.52729,9.3773177,0.01377166
120.53088,16.390642,0.02984995
120.53711,30.431732,0.01379819
120.5445,9.485985,0.01330718
120.54561,9.3616154,0.01600626
120.54709,12.243538,0.01601261
120.5503,10.542811,0.01449115
120.55057,8.9381307,0.01658844
120.55217,17.077029,0.01616234
120.57557,15.451955,0.01577743
120.5808,17.365945,0.02125973
120.58291,11.627941,0.01557393
120.58428,28.400654,0.01193446
120.59141,10.151851,0.01522471
120.59534,23.408034,0.01539851
120.60284,47.685846,0.02291426
120.60695,50.236939,0.01634856
120.61995,8.2207076,0.01494681
120.62019,20.513985,0.0286278
120.6241,9.4620206,0.01444232
120.6266,9.0759992,0.0158125
120.64033,9.389835,0.01678584
120.64384,9.6715713,0.01538685
120.64869,22.886872,0.02948597
120.64999,38.057469,0.02062039
120.65219,27.437501,0.01741033
120.65773,35.00754,0.02927835
120.65774,9.5000876,0.01593705
120.66527,27.238144,0.02623247
120.66939,34.521432,0.02883812
120.67052,33.845569,0.01580367
120.67161,20.66869,0.02850107
120.67369,16.009811,0.01565094
120.6753,26.170907,0.02731435
120.67863,40.678534,0.0102997
120.69643,13.758649,0.01627379
120.69982,7.4316157,0.01587113
120.70681,15.808279,0.01617748
120.72784,14.425273,0.01563228
120.72907,8.3960144,0.01603615
120.72924,17.262336,0.01603412
120.7328,15.485172,0.01623993
120.73972,16.299318,0.01618989
120.75656,56.104323,0.02851963
120.75723,16.331702,0.01538813
120.75963,15.318035,0.01544406
120.76023,56.106755,0.02880773
120.76657,17.003672,0.01578267
120.77012,55.269145,0.02159465
120.77013,24.517175,0.0154196
120.7757,35.161404,0.0176962
120.78069,51.503701,0.01747955
120.80443,26.089972,0.02664599
120.80521,33.13235,0.01759083
120.80787,29.096826,0.02783117
120.81054,17.357499,0.01562835
120.82108,20.226504,0.02873735
120.82128,17.000369,0.01645736
120.83187,33.089828,0.02532348
120.84329,26.007958,0.02118485
120.84902,8.2612394,0.01566828
120.85637,10.05053,0.01523442
120.85767,47.033492,0.01980782
120.86518,9.7099648,0.01453429
120.86694,25.102666,0.02756824
120.87418,48.494346,0.01231054
120.88508,34.965596,0.01767236
120.8959,38.132323,0.02336874
120.90846,17.109861,0.01500769
120.90848,43.343043,0.01527692
120.91355,8.910003,0.01633076
120.9189,46.727353,0.02898577
120.91963,15.657498,0.01544985
120.9364,33.209722,0.01797319
120.9395,19.793582,0.01772646
120.94527,9.7117557,0.01588129
